time,equity
1749848400000,6749.19029694
1749852000000,6749.59994053
1749855600000,6750.54353734
1749859200000,6749.76009759
1749862800000,6748.78932612
1749866400000,6748.54909053
1749870000000,6748.12123413
1749873600000,6748.50948490
1749877200000,6748.26115474
1749880800000,6747.72980335
1749884400000,6747.64625572
1749888000000,6747.71852876
1749891600000,6747.03887309
1749895200000,6747.43868755
1749898800000,6747.66215578
1749902400000,6747.57398268
1749906000000,6747.46239310
1749909600000,6747.19064647
1749913200000,6746.94751997
1749916800000,6745.84145336
1749920400000,6746.28896803
1749924000000,6747.11924071
1749927600000,6746.36615563
1749931200000,6747.09206605
1749934800000,6748.35164059
1749938400000,6748.67600199
1749942000000,6748.61413627
1749945600000,6749.27182093
1749949200000,6748.61991811
1749952800000,6748.79250613
1749956400000,6748.80406982
1749960000000,6749.04806360
1749963600000,6750.55423375
1749967200000,6748.70404393
1749970800000,6748.65518735
1749974400000,6748.00646455
1749978000000,6747.23256484
1749981600000,6747.79109089
1749985200000,6747.35542900
1749988800000,6748.29642398
1749992400000,6748.95468683
1749996000000,6749.36606497
1749999600000,6749.09431834
1750003200000,6749.09402925
1750006800000,6749.42619614
1750010400000,6748.83789360
1750014000000,6748.30220583
1750017600000,6746.67403878
1750021200000,6746.83593039
1750024800000,6748.18107621
1750028400000,6749.11918027
1750032000000,6748.66848559
1750035600000,6749.76067577
1750039200000,6749.69823187
1750042800000,6750.07607532
1750046400000,6751.47441410
1750050000000,6751.96760532
1750053600000,6751.99911636
1750057200000,6753.42434071
1750060800000,6753.74610029
1750064400000,6753.10749571
1750068000000,6752.78573613
1750071600000,6752.90021663
1750075200000,6752.33446327
1750078800000,6753.67064723
1750082400000,6754.74635916
1750086000000,6754.43934329
1750089600000,6755.41849843
1750093200000,6744.00392013
1750096800000,6744.00392013
1750100400000,6744.00392013
1750104000000,6744.00392013
1750107600000,6744.00392013
1750111200000,6744.00392013
1750114800000,6744.00392013
1750118400000,6744.00392013
1750122000000,6744.00392013
1750125600000,6744.00392013
1750129200000,6744.00392013
1750132800000,6744.00392013
1750136400000,6744.00392013
1750140000000,6744.00392013
1750143600000,6744.00392013
1750147200000,6744.00392013
1750150800000,6744.00392013
1750154400000,6744.00392013
1750158000000,6744.00392013
1750161600000,6744.00392013
1750165200000,6744.00392013
1750168800000,6744.00392013
1750172400000,6744.00392013
1750176000000,6744.00392013
1750179600000,6744.00392013
1750183200000,6744.00392013
1750186800000,6744.00392013
1750190400000,6744.00392013
1750194000000,6744.00392013
1750197600000,6744.00392013
1750201200000,6744.00392013
1750204800000,6744.00392013
1750208400000,6744.00392013
1750212000000,6744.00392013
1750215600000,6744.00392013
1750219200000,6744.00392013
1750222800000,6744.00392013
1750226400000,6744.00392013
1750230000000,6744.00392013
1750233600000,6744.00392013
1750237200000,6744.00392013
1750240800000,6744.00392013
1750244400000,6744.00392013
1750248000000,6744.00392013
1750251600000,6744.00392013
1750255200000,6744.00392013
1750258800000,6744.00392013
1750262400000,6744.00392013
1750266000000,6744.00392013
1750269600000,6744.00392013
1750273200000,6744.00392013
1750276800000,6744.00392013
1750280400000,6744.00392013
1750284000000,6744.00392013
1750287600000,6744.00392013
1750291200000,6744.00392013
1750294800000,6744.00392013
1750298400000,6744.00392013
1750302000000,6744.00392013
1750305600000,6744.00392013
1750309200000,6744.00392013
1750312800000,6744.00392013
1750316400000,6744.00392013
1750320000000,6744.00392013
1750323600000,6744.00392013
1750327200000,6744.00392013
1750330800000,6744.00392013
1750334400000,6744.00392013
1750338000000,6744.00392013
1750341600000,6744.00392013
1750345200000,6744.00392013
1750348800000,6744.00392013
1750352400000,6744.00392013
1750356000000,6744.00392013
1750359600000,6744.00392013
1750363200000,6744.00392013
1750366800000,6744.00392013
1750370400000,6744.00392013
1750374000000,6744.00392013
1750377600000,6744.00392013
1750381200000,6744.00392013
1750384800000,6744.00392013
1750388400000,6744.00392013
1750392000000,6744.00392013
1750395600000,6744.00392013
1750399200000,6744.00392013
1750402800000,6744.00392013
1750406400000,6744.00392013
1750410000000,6744.00392013
1750413600000,6744.00392013
1750417200000,6744.00392013
1750420800000,6744.00392013
1750424400000,6744.00392013
1750428000000,6744.00392013
1750431600000,6744.00392013
1750435200000,6744.00392013
1750438800000,6744.00392013
1750442400000,6744.00392013
1750446000000,6744.00392013
1750449600000,6744.00392013
1750453200000,6744.00392013
1750456800000,6744.00392013
1750460400000,6744.00392013
1750464000000,6744.00392013
1750467600000,6744.00392013
1750471200000,6744.00392013
1750474800000,6744.00392013
1750478400000,6744.00392013
1750482000000,6744.00392013
1750485600000,6744.00392013
1750489200000,6744.00392013
1750492800000,6744.00392013
1750496400000,6744.00392013
1750500000000,6744.00392013
1750503600000,6744.00392013
1750507200000,6744.00392013
1750510800000,6744.00392013
1750514400000,6744.00392013
1750518000000,6744.00392013
